Gene,Allele,Locus Name,Allele Name,Synonyms of Allele,Phenoptype,Chromosome,Marker Type,Mutant Type,
Am,--,Alfalfa mosaic, , ,Resistance to alfalfa mosaic virus,6,Morph,SPON,
ama,--,albomarginata, , ,Shorter internodes; leaves small and spotted with yellow-green or yellow; flowers small and petals narrow with white edges., ,Morph, ,
an,--,anantha, ,"an^1, an^2, ca","Inflorescence exceptionally large and excessively branched; no flowers appear, instead the axes of the inflorescences ramify into smaller and smaller segments, continuing such growth throughout the season; flowers reduced to small vestigial structures; heterozygotes are somewhat intermediate.", ,Morph,RAD,
an-2,--,anantha-2, , ,"Inflorescence highly branched, terminates in very compact ovary-like masses of tissue; aborted flowers.", ,Morph, ,
an-3,--,anantha-3, , ,"Leaves small, light green; inflorescence indefinitely ramifying, no normal flowers, resembling cauliflower; completely sterile.", ,Morph, ,
ana,--,angustata, ,ana1,"Shortened leaves, stems; pinnae small, narrow, pointed; smaller flowers, narrow petals.", ,Morph, ,
ang-2,--,angustifolia-2, ,ang2,"Smaller, compact, slow-growing plant; narrow, light-green pinnae.", ,Morph, ,
anr,--,antirrhinum, , ,Fruit elongated with hollow tip from which epiglotis extends resembling a snapdragon flower.,6,Morph, ,
ant,--,aurantia, ,ant1,"Short thick stems; many short side shoots; narrow, rugose, light green pinnae; light orange fruit; colorless pericarp.", ,Morph, ,
anu,--,angusta, ,anu1,Dark gray-green pinnae narrowed to 1/3 normal width; short leaves., ,Morph, ,
ap,--,apetalous, , ,Corolla reduced or absent; pollen scarce and nonfunctional,11,Morph,SPON,
apl,--,applanata, , ,"Broad, spreading habit; long, laxly pinnate leaves; heterozygote intermediate.", ,Morph,RAD,
apn,--,albo-punctata, , ,"Fine white speckling uniformly on cotelydons; mature leaves small, wilty; tiny flowers.",11,Morph,CHEM,
Aps-1,1,Acid phosphatase-1, , , ,6,Isozyme,SPON,
Aps-1,2,Acid phosphatase-1, , , ,6,Isozyme,SPON,
Aps-1,n,Acid phosphatase-1, , , ,6,Isozyme,SPON,
Aps-2,1,Acid phosphatase-2, , , ,8,Isozyme,SPON,
Aps-2,2,Acid phosphatase-2, , , ,8,Isozyme,SPON,
Aps-2,3,Acid phosphatase-2, , , ,8,Isozyme,SPON,
Aps-2,n,Acid phosphatase-2, , , ,8,Isozyme,SPON,
ar,--,arrecta, , ,"Small, compact plants; leaves yellow-green, virescent.", ,Morph, ,
are,--,anthocyanin reduced, , ,"Almost no anthocyanin until fruits set, then moderate amount in young foliage.",2,Morph,CHEM,
ari,--,aridifolia, , ,"Plants 1/3 normal size; cotyledons small, pointed, dull dark grey-green; die prematurely.", ,Morph, ,
as,--,asynaptic, ,"as1, a",Asynaptic meiosis; high pollen and ovule sterility., ,Morph, ,
as-2,--,asynaptic-2, ,"as2, a-2",Asynaptic meiosis; high pollen and ovule sterility., ,Morph, ,
as-3,--,asynaptic-3, ,"as3, a-3",Asynaptic meiosis; high pollen and ovule sterility., ,Morph, ,
as-4,--,asynaptic-4, ,"as4, a-4",Asynaptic meiosis; high pollen and ovule sterility., ,Morph, ,
as-5,--,asynaptic-5, ,"as5, a-5",asynaptic meiosis; high pollen and ovule sterility., ,Morph, ,
as-6,--,asynaptic-6, ,"as6, a-6",Delayed and asynaptic meiosis; chromatin degeneration; possibly two loci involved., ,Morph, ,
as-7,--,asynaptic-7, ,as^b,"Desynaptic meiosis, reduced pollen fertility.", ,Morph, ,
Asc,--,Alternaria stem canker resistance, , ,Resistance to Alternaria stem canker,3,Disease,SPON,
at,--,apricot, , ,"Flesh of ripe fruit yellow with pinkish blush; carotenoid content similar to r/r.; corolla pale yellow, nearly white.",5,Morph,SPON,
atn,--,attenuata, ,at,"Narrow, pointed leaves, yellow-green, purple below; rigid cylindrical habit; thin shoots.", ,Morph,RAD,
atv,--,atroviolacium, , ,"Excess anthocyanin on leaves, stems, and fruits.",7,Morph,SPON,
au,--,aurea, , ,Bright yellow cotyledons and leaves; seedling etiolates; plant vigorous.,1,Morph,RAD,
au,(1k),aurea,Knowles, , ,1,Morph, ,
au,(1s),aurea,Stubbe's,"au^2, au, brac",Bright yellow cotyledons and leaves; some times whitish; corolla pale yellow; moderately vigorous in condine red; seedling etiolates; plant vigorous.,1,Morph,RAD,
au,(2k),aurea,Knowles second, , ,1,Morph, ,
au,2,aurea, ,au^3,"Elongated hypocotyl; yellowish  foliage; smaller, slow-growing plant, dying prematurely.",1,Morph, ,
au,3,aurea, ,"au-2, au2","Elongated hypocotyl; yellowish  foliage; smaller, slow-growing plant, dying prematurely.",1,Morph, ,
au,6,aurea, ,"yg^6, yg-6, au^yg-6,  yo","Bright yellow foliage, often whitish; pale yellow corolla and stigma. Very weak.",1,Morph,SPON,
au,tl,aurea,Torrey Lyons', ,"Bright yellow foliage, often whitish; pale yellow corolla and stigma. Very weak.",1,Morph,SPON,
au,w,aurea, ,w616,"Bright yellow foliage, often whitish; pale yellow corolla and stigma. Very weak.",1,Morph,CHEM,
auc,--,aucta, , ,"Few branches; leaves broad, rounded, later becoming blistered, dark green; number of flowers and fruits reduced.", ,Morph, ,
aur,--,aurantiaca, ,aur1,"Small, pointed, yellowish light-green pinnae; orange fruit.", ,Morph, ,
aus,--,austera, , ,"Plants always 1/3 to 2/3 normal size; pinnae finely divided, in some cases bent upwards; foliage darker and duller than normal.", ,Morph,RAD,
aut,--,aureata, , ,"Vireescent, flush of gold near growing point in early development, not detectable in older plants.",3,Morph,SPON,
auv,--,aureate virescent, , ,"Seedling 'gold dust' virescence; leaf segments pointed, sometimes fimbriate. Mature plant nearly normal.",10,Morph,CHEM,
avi,--,albovirens, ,avi1,"Smaller plant; foliage variously variegated yellow, white, grey-green; reduced fruit set.", ,Morph,RAD,
aw,--,without anthocyanin, ,"aba, ab, a179","Free of anthocyanin, same phenotype as a.",2,Morph,SPON,
aw,(1k),without anthocyanin, ,aw^2,Completely free of anthocynanin.  Radiation induced in Money Maker.,2,Morph, ,
aw,prov3,without anthocyanin,provisional 3,aw,"Free of anthocyanin, same phenotype as a.",2,Morph,CHEM,
aw,prov4,without anthocyanin,provisional 4,aw,"Free of anthocyanin, same phenotype as a.",2,Morph,CHEM,
aw,prov5,without anthocyanin,provisional 5,aw,"Free of anthocyanin, same phenotype as a.",2,Morph,CHEM,
aw-2,--,without anthocyanin-2, , ,"No anthocyanin at any stages; reduced growth rate, dense bushy habit.", ,Morph, ,
B,--,Beta-carotene, , ,"Flesh of ripe fruit orange, due to high B-carotene, low lycopene concentrations.",6,Morph,SPON,
B,c,Beta-carotene,crimson,"og^c,Crn,Cr,crn-2,cr-2",Crimson fruit; increased fruit lycopene content.,6,Morph,SPON,
B,m,Beta-carotene,minutum, ,"High B-carotene, low lycopene in ripe fruit.  .",6,Morph, ,
B,og,Beta-carotene,old gold,og,"Corolla tawny orange, fading to white; anthers orange-yellow; increased fruit lycopene.",6,Morph,SPON,
bc,--,bicolor, ,bi,"Young leaves mottled brownish olive normal, later glazed dark green; short internodes; heterozygote intermediate for some characters.", ,Morph,RAD,
Bco,--,Brilliant corolla, , ,Corolla pigment intensifier.,7,Morph,SPON,
be,--,blue-green, , ,Small plant with blue-green leaves., ,Morph,RAD,
bg,--,bursting resistance, , ,Resistance of fruit to bursting., ,Morph, ,
bi,--,bifurcate inflorescence, , ,With f and j causes extreme fasciation of the &quot;ring type&quot;.,11,Morph,SPON,
bip,--,bipinnata, , ,"Leaves highly divided, with smaller, acute segments.",2,Morph,RAD,
bip,prov2,bipinnata,provisional 2,bip,"Leaves highly divided, with smaller, acute segments.",2,Morph,CHEM,
bip-2,--,bipinnata-2, ,bip2,"Slender, pointed, light gray-green cotyledons; doubly pinnate, rugose leaves.", ,Morph, ,
bk,--,beaked, , ,Fruits with sharp points at stylar end.,2,Morph,SPON,
bk,2,beaked, , ,Fruits with sharp points at stylar end.,2,Morph,SPON,
bk,3,beaked, , ,Fruits with sharp points at stylar end.,2,Morph,SPON,
Bk-2,--,Beaked-2, , ,Sharp point at stylar end of fruit, ,Morph,SPON,
bks,--,black seed, ,bks1-1,"Black seed testa, reduced germination.",11,Morph,RAD,
bks,2,black seed, ,bks1-2,"Black seed testa, reduced germination.",11,Morph,RAD,
bl,--,blind, , ,Growth of axis terminates in single flower or inflorescence as if an extremem expression of sp (self-pruning); no buds in axils of leaves or cotyledons; late season adventitious shoots may emerge from the midribs; expression stronger in field than greenhouse.,11,Morph,SPON,
bl,2,blind, ,to^2,"Determinant growth; few flowered inflorescences; fasciated flowers; enlarged, leafy calxy; less extreme than bl.",11,Morph,RAD,
bl,to,blind,torosa,to,"Determinate habit; firm, strongly uprolled pinnae; fasciated flowers and fruits; expression stronger in field.",11,Morph,RAD,
bls,--,baby lea syndrome, ,alm,"Anthocyaninless; restricted root system; short internodes, leaves, and trusses",3,Morph,SPON,
bls,prov2,baby lea syndrome,provisional 2,bls,"Anthocyaninless; restricted root system; short internodes, leaves, and trusses",3,Morph,CHEM,
bls,prov3,baby lea syndrome,provisional 3,bls,"Anthocyaninless; restricted root system; short internodes, leaves, and trusses",3,Morph,CHEM,
bn,--,blunt, , ,"Stamens absent, rarely present, with functional pollen, in greenhouse. Usually petaloid stamens adnate to pistil; leaf segments obtuse", ,Morph,SPON,
bn,sts,blunt,Stamen suppressor,"sts, sl-6","Stamens absent, rarely present, with functional pollen, in greenhouse; fewer blunt leaflets; with sp:+ 6-10 leafs between inflorescences.", ,Morph, ,
Bnag-1,1,Beta-N-acetyl-D-glucosaminidase-1, , , ,1,Isozyme,SPON,
br,--,brachytic, , ,"Internodes shortened, resulting in low stature and compact growth habit; by the third-leaf stage, br plants are only half as tall as +; differs from dwarf (d) in having normal-colored, nonrugose foliage, and normal instead of sessile and compact leaf segments.",1,Morph,SPON,
brt,--,bushy root, , ,"Radical branches early; radical and root profusely branched; root tips twisting upwards, not dense growth.",12,Morph,CHEM,
brt-2,--,bushy root-2, , ,severely stunted growth (1/20) dense bushy growth of twisted roots.,4,Morph,SPON,
bs,--,brown seed, , ,Brown seed color behaving as endosperm trait.,1,Morph,CHEM,
bs-2,--,brown seed-2, , ,Brown seed color governed by genotype of endosperm.,7,Morph,SPON,
bs-3,--,brown seed-3, , ,Brown seed color determined by genotype of endosperm., ,Morph, ,
bs-4,--,brown seed-4, , ,Brown seed color controlled by genotype of endosperm., ,Morph,RAD,
Bt,--,bursting digenic inheritance, ,bg,Susceptibility to fruit bursting., ,Morph, ,
btl,--,brittle stem, , ,"Growth ceases with first flowering; stems brittle, with progressive defoliation; temperature-sensitive and expressed only under field conditions; B inefficient.", ,Morph,SPON,
bu,--,bushy, ,fru,"Hypocotyl normal, but cotyledons cuneate and held close to the plumule; first three internodes very short, resulting in dwarfing of the seedling to half height of normal; in later stages, internodes  shortened, with excessive production of side branches, giving a bushy appearance; all parts of inflorescence foreshortened; abscission joint of pedicel imperfect and shifted towards calyx.",8,Morph,RAD,
bu,ab,bushy,abbreviata,fru^ab,Internodes and inflorescences shortened; long petioles.,8,Morph,RAD,
bu,cin,bushy,compact inflorescence,cin,Internodes and inflorescences shortened; long petioles.,8,Morph,SPON,
bu,cin-2,bushy,compact  inflorescence 2,cin-2,Internodes and inflorescences shortened; long petioles.  Duplicate genes determining character similar to bu.,8,Morph,SPON,
bu,hem,bushy,hemiglobosa,fru^hem,"Internodes and inflorescences shortened; long petioles.  Phenotype like bu except leaves longer, more lax; heterozygote intermediate in some traits.",8,Morph,RAD,
bul,--,bullata, , ,Leaf surface blistered and chlorotic with a network of darker veins; short internodes., ,Morph,RAD,
buo,--,bullosa, ,buo1,Plants and seedlings larger in all parts; broad and rugose pinnae., ,Morph,RAD,
Bw-1,--,Bacterial wilt-1, , , ,6,Disease, ,
Bw-2,--,Bacterial wilt-2, , , ,7,Disease, ,
Bw-4,--,Bacterial wilt-4, , , ,4,Disease, ,
Bw-5,--,Bacterial wilt-5, , , ,6,Disease, ,
c,--,potato leaf, , ,Number of leaf segments reduced,6,Morph,SPON,
c,int,potato leaf,integerrima,int,Number of leaf segments reduced,6,Morph,RAD,
c,prov2,potato leaf,provisional 2,c,Number of leaf segments reduced,6,Morph,CHEM,
c,prov3,potato leaf,provisional 3,c,Number of leaf segments reduced,6,Morph,CHEM,
c,prov4,potato leaf,provisional 4,c,Number of leaf segments reduced,6,Morph,CHEM,
c,prov5,potato leaf,provisional 5,c,Number of leaf segments reduced,6,Morph,CHEM,
c,prov6,potato leaf,provisional 6,c,Number of leaf segments reduced,6,Morph,CHEM,
car,--,carinata, , ,"Shortened, keeled pinnae, dark gray-green color; deformed flowers; elongated fruit.", ,Morph,RAD,
car-2,--,carinata-2, ,car2,"Smaller plant; slender stems; smaller pinnae, nearly entire margin.", ,Morph,RAD,
cb,--,cabbage, , ,Compact habit; leaves large and dark green; flowers inconspicuous; corolla segments narrow; pollen and ovules partially sterile due to irregular meiosis; fruit with fewer locules.,1,Morph, ,
cb-2,--,cabbage leaf-2, , ,"Larger plant parts; leaves epinastic and blistered; broad, rugose leaves, similar to dwarf.", ,Morph,RAD,
ccf,--,cactiflora, , ,"Flower greatly fasciated; and roecium gynoecium and green tissues fused and distorted, enlarging into fruitlike structure; complete male and female sterility.", , ,CHEM,
cd,--,condensata, , ,"Seedling small; internodes shortened; leaf light grey-green with narrow, keeled segments; fruit round and relatively large.", ,Morph, ,
ce,--,cernua, ,ce1,"Cotyledons lightly dotted in whitish yellow-green; lax, inclined plant.", ,Morph, ,
Cf-?,--,Cladosporium fulvum resistance, , ,Resistance to specific races of Cladosporium fulvum,1,Disease,SPON,
Cf-1,--,Cladosporium fulvum resistance-1, ,"Cf, Cf1, Cfsc",Resistance to race 1 and 3 of Cladosporium fulvum.,1,Disease,SPON,
Cf-1,3,Cladosporium fulvum resistance-1, ,"Cf-5, Cf5",Resistance to specific races of Cladosporium fulvum.,1,Disease,SPON,
Cf-2,--,Cladosporium fulvum resistance-2, ,"Cf2, Cfp1",Resistance to  races of  Cladosporium fulvum.,6,Disease,SPON,
Cf-3,--,Cladosporium fulvum resistance-3, ,"Cf3, Cfp2",Resistance to specific races of  Cladosporium fulvum,11,Disease,SPON,
Cf-4,--,Cladosporium fulvum resistance-4, ,"Cf-8, Cf4, Cf-1^2",Resistance to specific races of Cladosporium fulvum.,1,Disease,SPON,
Cf-6,--,Cladosporium fulvum resistance-6, , ,Resistance to specific races of Cladosporium fulvum., ,Disease,SPON,
Cf-7,--,Cladosporium fulvum resistance-7, , ,Resistance to specific races of Cladosporium fulvum., ,Disease,SPON,
Cf-9,--,Cladosporium fulvum resistance-9, , ,Resistance to specific races of Cladosporium fulvum.,1,Disease,SPON,
cfa,--,conferta, ,cfa1,"Very small, compact bush; strongly shortened internodes, young leaves.", ,Morph, ,
cg,--,congesta, ,cg1,"Small, dense bush; late growth retardation; short internodes; pointed primary leaves.", ,Morph,RAD,
ch,--,chartreuse, , ,Greenish-yellow subnormal petals; reduced fertility.,8,Morph,SPON,
chln,--,chloronerva, , ,Upper leaves smaller and chlorotic interveinally; strong graft response.,1,Morph, ,
chrs,--,chrysanthemum sterile, , ,"Flowers fascicled  6cm across; many small pale yellow petals; stamens dialytic and without pollen; fruits deformed, orange-red fruits with brown sectors; poor fertility.", ,Morph,RAD,
ci,--,cincta, ,ci1,"Small, irregular bush; many side shoots of equal length from lower leaf axils.", ,Morph,RAD,
cir,--,circumsaepta, ,cir1,"Rounded, light gray-green pinnae, downrolled margin.", ,Morph, ,
cit,--,citriformis, , ,"In pm stock; Plant reaches 1/3 - 2/5 typical size; half erect, weakly branched; foliage color grey-green; terminal segment of primary leaves long and narrow; older leaves serrated; lemon shaped fruit with conspicuous stylar scar.", ,Morph,RAD,
cjf,--,conjunctiflora, , ,"Flowers joined in pairs or triplets, otherwise malformed.",1,Morph,SPON,
ck,--,corky fruit, , ,"Pericarp cracked, exposed tissues becoming brown and leathery.", ,Morph,SPON,
Cl,--,Cleistogamous, ,Cl1,Flowers fail to open., ,Morph, ,
cl-2,--,cleistogamous-2, ,cl2,Flowers open only slightly; reduced fertility.,6,Morph,SPON,
cla,--,clara, , ,"Yellowish-green leaf color, purple veins and petioles; incompletely dominant.", ,Morph,RAD,
clau,--,clausa, ,"ff, vc","Partly cleistogamous; leaves rugose, excessively divided; leaf lamina foreshortened, long petioled, flattened fruits.",4,Morph,RAD,
clau,ff,clausa, , ,"Partly cleistogamous; leaves rugose, excessively divided; leaf lamina foreshortened, long petioled, flattened fruits.",4,Morph,SPON,
clau,ics,clausa,incisifolia,ics,"Pinnae margins deeply incised, dentations acute.",4,Morph,SPON,
clau,prov2,clausa,provisional 2,clau,"Partly cleistogamous; leaves rugose, excessively divided; leaf lamina foreshortened, long petioled, flattened fruits.",4,Morph,SPON,
clau,vc,clausa,veined cotyledon, ,"Partly cleistogamous; leaves rugose, excessively divided; leaf lamina foreshortened, long petioled, flattened fruits. Original description: cotyledons distinctively veined, leaflets slightly convex and twisted, shallow lobes; growth normal, fertility reduced.",4,Morph,SPON,
cle,--,collecta, , ,"Reduced growth rate; internodes shortened; small compact bush habit; leaf segments large, rounded, foliolules fewer.", ,Morph, ,
cls,--,clarescens, , ,"Foliage light yellow green early, becoming whitish green and blistered later, brilliant yellow green virescent; plants 1/4  typical size; growth very weak in field, setting fruits only in greenhouse.", ,Morph,RAD,
clt,--,coalita, , ,Size and habit typically spl; primary leaves with entire end segments and only tiny laterals; mature leaves typically 5-segmented through fusion with end segment; segments always entire; resembles but is not allelic to sf., ,Morph,RAD,
clt-2,--,coalita-2, , ,"Terminal pinnae large, second order pinnae few and masked by 1st order pinnae, little serration.", ,Morph, ,
cm,--,curly mottled, , ,"Strong virus-like mottling and distortion of leaves and abortion of flowers.  Highly sensitive to environment, particularly temperature; highest expression and nearly complete sterility under low light, cool conditions of winter, whereas phenotype essentially normal in mid-summer.",4,Morph,SPON,
cma,--,commutata, , ,dwarf with bright green foliage, ,Morph,RAD,
Cmm,--,Clavibacter michiganensis resistance, , ,Resistance to Clavibacter michiganensis.,4,Disease,SPON,
Cmr,--,Cucumber mosaic resistance, , ,"Resistance to isolate 113A of cucumber mosaic virus, from L. chilense.",12,Disease,SPON,
cn,--,cana, ,ca,Cotelydons and leaves gray-green especially on undersides; tiny and unbranched plants.,3,Morph,RAD,
cna,--,citrina, , ,Foliage weak grey-green; petals light yellow; anthers greenish yellow., ,Morph, ,
Cnr,--,Colorless nonripening, , ,"Fruit exhibit greatly reduced ethylene production, inhibited softening,  yellow skin, and nonpigmented pericarp due to the absence of carotenoid pigments in the pericarp tissue.  The mutant phenotype is not reversed by exposure to exogenous ethylene.",2,Morph,SPON,
co,--,cochlearis, , ,Reduced gray-green leaves with concave spoon-shaped leaflets; small plants of normal habit.,1,Morph,RAD,
co-2,--,cochlearis-2, ,co2,"Small leaves; deeply crenate, initially gray-green pinnae.", ,Morph, ,
coa,--,corrotundata, ,coa1,"Plant small; pinnae fewer, broad, rounded, darker; flower parts short and broad.",6,Morph,RAD,
com,--,complicata, , ,"Smaller, weakly branched erect plant; firm and keeled pinnae.",1,Morph,RAD,
com,in,complicata,indiga,in,"Small, dainty, nearly unbranched plants; shortened light gray-green leaves.",1,Morph,RAD,
com-2,--,complicata-2, ,com2,"Very small plant; short leaves, internodes; few side shoots; purplish shoot tips.", ,Morph, ,
con,--,convalescens, , ,"Yellow-green, paler at growing point; variably depressed growth.",3,Morph,RAD,
con-2,--,convalescens-2, ,con2,"Narrow cotyledons, dull light gray-green foliage, weakly yellow-green in growth zones.", ,Morph, ,
cor,--,coriacea, , ,"Smaller, unbranched plant; all parts reduced; short leaves with plicate segments.", ,Morph,RAD,
cp,--,compacta, ,cp1,"Short leaves, smaller, dark green pinnae.", ,Morph, ,
cpa,--,composita, ,cpa1,"Large, strongly branched, leafy inflorescence; jointless pedicel.", ,Morph,RAD,
cpf,--,cupuliformis, , ,"Cotyledons fused, cup-shaped, becoming coarse and enlarged later; transition to mature leaves without primary leaves; plants die at 3-4 leaf stage; line maintained via heterozygotes.", ,Morph, ,
cpf-2,--,cupuliformis-2, , ,Phenotype similar to cpf., ,Morph, ,
