Gene	Locus Name	Phenoptype	Chromosome
cps	compactilis	Plant smaller at all stages; leaves somewhat wider, lightly blistered and darker green.	 
cpt	compact	Highly branched, compact plant; lax stems; pale, smaller leaves; reduced fruit set.	8
Cri	Crispa	Very small in all parts; poorly viable without grafting; leaves light olive green, necrotic. Cri/+ necrotic spots on pinnae centers.	7
Crk	Crinkled	Leaves like those of Cu but less condensed and segments dentate; homozygote lethal.	9
cr	radial crack resistance	Resistance of fruit to radial cracking.	 
crt	cottony-root	Overgrown root hairs with cottony appearance	 
cru	corrupta	Smaller plant, irregular, sometimes distorted growth; spreading necrosis; firm, leathery, involuted brittle pinnae.	 
cry1	cryptochrome 1	Hypocotls and stems are elongated, and anthocyanins reduced; seedlings are de-etiolated under blue light; phenotype more extreme in combination with phyA and phyB1.	 
cs-2	corollaless-2	Apetalous; dialytic anthers; exserted stigma; self fertile, rarely sets fruits naturally.	 
cta-2	contaminata-2	Leaves 1/4 normal size; stems with corky surface, variable necrosis of vascular tissue.	 
cta	contaminata	Smaller, flat, broad bush; many side shoots; at end of season stems and leaf midribs turn necrotic and brittle; also reduced fertility.	 
ctb	cotyledon tops bifurcation	Bifurcation of cotyledon tops by a central vein.	 
ctr	citrate concentration	 	 
ctr	citrate concentration	Low citric acid in fruit (cv. Tondo Liscio) vs. high concentration, ctr (PI 263713 = L. esculentum).	 
ctt-2	contracta-2	Plant half normal size at flowering; internodes shortened; leaves are narrow, pointed and blistered.	 
ctt	contracta	All shoots somewhat shortened, resulting in round bush habit; pinnae weakly serrated, plicate, and flattened; foliage somewhat lighter, and growing points are somewhat darker.	 
cu-2	curl-2	Small, downcurled leaves; resembling Cu.	 
cu-3	curl-3	Dwarf, short and thick hypocotyls, curled cotyledons, and dense curly leaves; reduced fertility.	 
cu-3	curl-3	Similar to cu-3, no restoration by brassinolide application	 
cua	curta	Seedling and mature plant smaller, round bush habit; internodes and leaves shortened; leaves rounded and wider.	 
Cu	Curl	Mid- and lateral veins and petiole greatly foreshortened producing crumpled leaf; homozygous viable.	2
cul	culcitula	Seedlings dark green with strong anthocyanin, later foliage dark grey-green; plants reach 1/3 to 2/5  typical size; internodes very short, habit cushion-like.	 
cup	cupida	Extremely susceptible to drought damage at all stages; leaves small, yellowish, wilting, and eventually necrotic.	 
cur	curvifolia	Leaves twisted, yellow-green; short internodes.	 
cv-2	curvata-2	Twisted cotyledons; short, rounded leaves; rugose, yellow-green pinnae.	 
cva-2	conversa-2	Small, compact plant, leaves, pinnae.	 
cva	conversa	Small, dense plant; variable fading of foliage.	 
cv	curvata	Small plant; leaves, pinnae briefly stalked; leaf surface furrowed; older leaves strongly bent downward.	 
cv	curvata	Young stem curves from node to node; dark rugose leaves; dwarf compact habit; heterozygote intermediate for some traits.	 
cvl	convoluta	Small, dense plant; short internodes; pinnae of oldest leaves involuted.	 
Cvx	Convexa	Seedling and mature plant with narrow convex leaves, deeply veined and tending to roll downward on margins.	 
cy	cyathiformis	Cotyledons united at one or both edges; lateral shoots suppressed; pinnae margins nearly entire.	 
d-2	dwarf-2	Shortened internodes and leaves; thick, rugose, bluish gray-green leaves; not allelic with the mimic,d1.	6
d-3	dwarf-3	Smaller, sturdy, erect plant; all parts foreshortened; rugose and dark-green leaves.	 
d-4	dwarf-4	Mildly dwarf type; broad, shortened, crowded, darker pinnae; darker flower color.	 
d-5	dwarf-5	Slow growing plant with normal stem and leaf proportions; semi-sterile; classification good when three weeks old.	 
d-6	dwarf-6	Compact and small plant; rugose, and keeled pinnae, upper surface shiny dark green.	 
d-7	dwarf-7	Plants reduced to 10-12 inches tall; short internodes; leaves highly divided with strong anthocyanin.	 
d-8	dwarf-8	Plants reduced to 6-8 inches tall, short internodes; normal flowers but no fruit set in field.	 
dc	decomposita	Slender, strongly sinuous and crenate pinnae; more secondary pinnae; micromutation.	 
dd	double dwarf	Extremely retarded and highly modified dwarf.	 
d	dwarf	 	2
d	dwarf	Allele of phenotype intermediate between d and d^x.	2
d	dwarf	All parts foreshortened; leaves dark and rugose.	2
d	dwarf	Extreme dwarf; more stunted than d^x; leaves reduced to small, dark green globs of curled, rugose tissue; flowers reduced, with tiny corolla segments.	2
d	dwarf	Resembles dwarf (d) but more extreme in all respects; growth is very slow; all parts of plant reduced in size and most organs modified in the direction of shorter and broader shape; leaves very dark green, the surface coarsely bullate and midrid twisted; plants are moderately fertile; recessive to d and to +.	2
d	dwarf	Shortened hypocotyl, darker, broader and shorter cotyledons; stems heavy and erect; plant compact, internodes shortened to about 2.5cm; leaves very distinct, with reduced number and size of segments; dark green color, puckered rugose surface, down-curled magins, and broader, shorter outline of whole as well as individual segments; similar reduction in size and foreshortening of inflorescence, flowers and fruit.	2
d	dwarf	Wild-type allele of dwarf.	2
deb	debilis	Leaves emerge yellowish; necrotic mottling, whitish, and later brown, often constricting leaves in middle.	7
dec-2	decumbens-2	After start of blooming plant becomes decumbent.	 
dec	decumbens	Lax and decumbent habit; early fruiting.	 
de	declinata	Great reduction in size of all parts; leaves dark yellow-green, leaflets roll toward underside.	 
def-2	deformis	Like def; leaves deformed after flowering.	 
def	deformis	Leaves become progressively more deformed with twisted filiform leaflets.	6
def	deformis	Seedlings normal, later leaves becoming progressively reduced, filiform, and with adnate segments; deformed flowers and reduced fertility.	6
Del	Delta	Reddish-orange mature fruit color, due to inhibition of lycopene, and increase of delta-carotene.	12
deli-2	deliquescens-2	Smaller compact bush; short internodes and leaves; all foliage is light yellow-green.	 
deli	deliquescens	Early habit dense later loosely parting; shortened yellowish leaves with narrow acute segments.	8
den	densa	Typical spl seedlings; plant 3/4 normal size; stems and petioles strong; internodes somewhat shortened; leaf segments large and coarse; foliolules blistered; foliage color somewhat lighter.	 
depa	depauperata	Very small plants with short internodes; leaflets bowed, color variable, and mostly yellowish.	8
dep	deprimata	Slightly depressed growth; dainty, darker leaves.	 
det-2	detrimentosa-2	Plants reach 1/4-1/3 normal size; cotelydons narrow and tapered; leaves are shortened, segments small, keeled, margins serrated, and dull dark grey-green.	 
det	detrimentosa	Small, plant; dainty, pale yellow-green leaves; slender pinnae; less discoloration and premature dying than det.	 
det	detrimentosa	Small, weakly branched and lax plant; yellowish foliage.	 
dfd	delayed fruit deterioration	Fruit softening greatly reduced; shelf life up to seven months; resistant to postharvest disease	 
Df	Defoliator	Homozygous seedlings retarded in growth, dark green, and die early; heterozygous are viable, but leaves become necrotic and fall prematurely.	 
dgt	diageotropica	Leaves drooping, elongate, dark green; stems weak, slender, and prostrate.	1
dgt	diageotropica	Plant habit prostrate due to reduced gravitropic response; growth retarded; stems and leaves droopy; cotelydons concave.  Roots grow horizontally rather than downwards; no lateral root formation.	1
Dia-2	Diaphorase-2	 	1
Dia-3	Diaphorase-3	 	9
Dia-4	Diaphorase-4	 	12
dil-2	diluta-2	Light colored, denser plant; short leaves, smaller pinnae.	 
dil	diluta	Leaves dull light green, small, and roughened; plants half normal size.	2
dim-2	diminuta-2	Very small plant, leaves, pinnae; much anthocyanin in hypocotyl, growth zones.	 
dim	diminuta	Somewhat smaller plants and leaves, shortened internodes; older leaves gray green with violet veins.	 
dis-2	discolor-2	Cotyledons first yellow-green, then whitish light-green; small compact plant.	 
dis	discolor	Leaf color light green with virescent growing regions, also with darker veins.	3
div	divaricata	Small squarrose plant with intercostally yellowish leaves and ventrally purple.	3
dlb	dilabens	Small, compact plant with shortened yellowish leaves.	 
dl	dialytic	Anthers free, but trichome modifications of original dl absent.  Expression is dominant to wild type.	8
dl	dialytic	Large trichomes partially suppressed and distorted; stamens not united, resulting in partially reduced fruit set from self pollination; seedlings can be distinguished in the 2- or 3-leaf stage by the shortening, bending and forking of the long and intermediate hairs.	8
dlu	dilucida	Plants reach 1/8-1/6 normal size, dwarf bush habit; foliage bright light green, light yellow-green virescent; petioles, stems, veins light violet; very low fruit set.	 
dmd	dimidiata	Hypocotyl is strong; cotelydons are almost oval and arched downwards; internodes short and result in is small plants; leaf segments broad, coarse, and flat with 1 - 2 pairs of laterals grey-green; few foliolules develop later; corolla segments broad and flat; fruits few and  seedless;  maintained via heterozygotes.	 
dm	dwarf modifier	Causes extreme dwarfing.	 
dmt	diminutiva	Shortened plant height and length of stem internodes, leaves, and pinnae.	4
dpa	deparca	Small seedling and mature plant; little branching; leaf lighter at base, smaller, dark green; strong anthocyanin.	 
dpi	densipinnata	Plant 1/2-3/4 normal size; small bush habit; cotyledons narrow with tapered tip; leaves dull grey-green; leaf segments large, crowded and fewer foliolules.	 
dpr	depravata	Cotelydons and primary leaves strongly curled; internodes and leaves shortened; young leaves very asymmetrical, later deformed with long petiole.	 
dps	diospyros	Fruit tissue is dusky orange.	 
dpy	dumpy	Leaves like those of d:x but internodes longer.	2
dpy	dumpy	Leaves like those of d:x but internodes longer; Leaves greatly condensed, rugose, dark green; internodes somewhat foreshortened	2
drt	dwarf root	Reduced root system	2
ds	dwarf sterile	Stunted plants with short internodes and reduced leaves; partially male-sterile.	11
dt	dilatata	Plant small; pinnae yellowish; veins darker with uprolled margins.	1
dtt	detorta	Cotyledons epinastic, irregularly crooked, many seedlings with 3 cotyledons; plants 2/5-3/5 normal size, less erect than normal; stems crooked and leaves and pinnae disordered; pinnae partly plicate, partly spiraled.	 
du	dupla	Young plants typically splendens, later reach 2/3 size; habit half erect; branching reduced, particularly in the side shoot below the first inflorescence; leaf segments broad and doubled in number with many foliolules; strong anthocyanin in shoots exposed	 
dv	dwarf virescent	Pale green virescent; plants always stunted.	2
dx-2	extreme dwarf-2	Resembles d:x in most respects; all parts extremely shortened; plant erect with no branching, attains half normal size; leaves very rugose and bright dark green above; flowers are small.	 
e-2	entire-2	Leaves with reduced numbers of segments, incompletely separated, irregularly lobed and undulate margins; cotyledons subnormal and often fused; produces few flowers of low fecundity with slender parts; calyx large, anthers deformed.	10
eca	echinata	Early growth typically pm and later reaching 2/3-3/4 typical size; from fruit set on main stem and branches grow vertically with dense to loose bush habit, lending porcupine-like appearance.	 
ec	exserted carpels	Fruits vary from none to many exserted carpels.	 
e	entire	Fewer fused leaf segments and distorted midvein, entire or broad leaflets	4
e	entire	Fewer leaf segments; midvein distorted	4
e	entire	First true leaf undivided but serrate, mature leaves usually have reduced number of lateral segments, which have variably serrate margins; contraction indicated by crowding of lateral segments and distortion of midvein.  Parthenocarpic fruit. Fused sepals.	4
ela	elata	Plants reach 3/4 normal size; dense, erect, and bush habit; internodes shortened; leaf segments large, wide, and strongly blistered.	 
ele-2	elegans-2	Narrow, rounded cotyledons, margin rolled up; smaller, light yellow-green pinnae.	 
ele	elegans	Leaves reduced, yellow-green and dainty; plants tiny	11
